"Family","J","Scenario","Selected_group","Method","Bias","RMSE","Coverage","Width","n_point","n_ci"
"Normal",4,"H1",1,"CMUE-MLE","0.01673 (0.001150)","0.1824 (0.0008952)","0.9701 (0.001078)","0.7084 (0.0004462)",24951,24951
"Normal",4,"H1",1,"CMUE-ZERO","0.07232 (0.001172)","0.1987 (0.0009489)","0.9336 (0.001576)","0.6363 (0.0004441)",24951,24951
"Normal",4,"H1",1,"RB","0.0005421 (0.001245)","0.1966 (0.0009887)","0.9508 (0.001369)","0.7631 (0.0005647)",24950,24949
"Normal",4,"H1",2,"Stage 2","-0.0009119 (0.001785)","0.2822 (0.001265)","0.9503 (0.001375)","1.109 (0.0000000000000000007591)",24992,24992
"Normal",4,"H1",2,"Naive","0.09446 (0.001122)","0.2009 (0.001002)","0.7836 (0.002605)","0.5456 (0.001477)",24992,24992
"Normal",4,"H1",2,"CBAE-SI","0.01267 (0.001159)","0.1836 (0.0009122)","—","—",24992,
"Normal",4,"H1",2,"CBAE-MI","-0.02509 (0.001183)","0.1878 (0.0008952)","—","—",24745,
"Normal",4,"H1",2,"CMUE-MLE","0.01662 (0.001144)","0.1816 (0.0008967)","0.9703 (0.001074)","0.7090 (0.0004396)",24992,24992
"Normal",4,"H1",2,"CMUE-ZERO","0.07241 (0.001165)","0.1979 (0.0009456)","0.9337 (0.001573)","0.6368 (0.0004396)",24992,24992
"Normal",4,"H1",2,"RB","-0.0002027 (0.001235)","0.1953 (0.0009879)","0.9515 (0.001359)","0.7634 (0.0005632)",24991,24991
"Normal",4,"H1",3,"Stage 2","-0.003150 (0.001778)","0.2810 (0.001251)","0.9533 (0.001335)","1.109 (0.0000000000000000007544)",24982,24982
"Normal",4,"H1",3,"Naive","0.09474 (0.001121)","0.2009 (0.001009)","0.7817 (0.002613)","0.5431 (0.001472)",24982,24982
"Normal",4,"H1",3,"CBAE-SI","0.01249 (0.001158)","0.1834 (0.0009115)","—","—",24982,
"Normal",4,"H1",3,"CBAE-MI","-0.02578 (0.001182)","0.1876 (0.0008908)","—","—",24733,
"Normal",4,"H1",3,"CMUE-MLE","0.01598 (0.001144)","0.1814 (0.0008977)","0.9701 (0.001078)","0.7092 (0.0004361)",24982,24982
"Normal",4,"H1",3,"CMUE-ZERO","0.07233 (0.001166)","0.1979 (0.0009542)","0.9344 (0.001566)","0.6365 (0.0004405)",24982,24982
"Normal",4,"H1",3,"RB","-0.001178 (0.001239)","0.1959 (0.0009853)","0.9530 (0.001339)","0.7638 (0.0005664)",24981,24981
"Normal",4,"H1",4,"Stage 2","-0.0004045 (0.001788)","0.2821 (0.001264)","0.9508 (0.001371)","1.109 (0.0000000000000000007624)",24900,24900
"Normal",4,"H1",4,"Naive","0.09500 (0.001124)","0.2012 (0.001008)","0.7854 (0.002602)","0.5459 (0.001483)",24900,24900
"Normal",4,"H1",4,"CBAE-SI","0.01305 (0.001160)","0.1836 (0.0009105)","—","—",24900,
"Normal",4,"H1",4,"CBAE-MI","-0.02487 (0.001184)","0.1876 (0.0008918)","—","—",24637,
